numPeople, numberDead, evacTime,Proportion People Dead
10,1,12.45,0.1
10,0,11.25,0
10,2,9.60002,0.2
10,0,11.4,0
10,1,10.45,0.1
10,1,9.65002,0.1
10,0,9.25002,0
10,0,9.70002,0
10,0,10.95,0
10,0,12.7,0
20,0,14.6,0
20,0,13.2,0
20,1,15.45,0.05
20,0,15,0
20,2,14.2,0.1
20,1,14.1,0.05
20,0,15.45,0
20,3,13.25,0.15
20,0,15.65,0
20,1,13.05,0.05
30,4,15.3,0.133333333
30,5,15.75,0.166666667
30,3,15.95,0.1
30,4,15.4,0.133333333
30,3,15.8,0.1
30,3,15.3,0.1
30,3,15.7,0.1
30,3,15.3,0.1
30,2,14.65,0.066666667
30,3,14.8,0.1
40,6,15.8,0.15
40,8,15.25,0.2
40,11,18.1,0.275
40,7,16.35,0.175
40,8,16.35,0.2
40,9,15.4,0.225
40,11,16.5,0.275
40,6,16.7,0.15
40,8,16,0.2
40,7,15.55,0.175
50,13,19.4,0.26
50,15,18.3,0.3
50,18,19.2,0.36
50,15,19.85,0.3
50,10,16.45,0.2
50,16,19.25,0.32
50,15,18.9,0.3
50,10,17,0.2
50,20,21.35,0.4
50,16,17.6,0.32
60,20,19.8,0.333333333
60,21,20.2,0.35
60,19,19.05,0.316666667
60,22,19.95,0.366666667
60,23,23.9499,0.383333333
60,24,22.5499,0.4
60,24,22.4499,0.4
60,23,20.4,0.383333333
60,15,19.35,0.25
60,20,23.2499,0.333333333
70,31,21.1,0.442857143
70,36,25.9499,0.514285714
70,26,21.8,0.371428571
70,32,24.7499,0.457142857
70,31,21.95,0.442857143
70,29,23.0999,0.414285714
70,29,23.4499,0.414285714
70,29,24.3999,0.414285714
70,31,23.6999,0.442857143
70,29,20.05,0.414285714
80,37,24.4999,0.4625
80,32,23.2999,0.4
80,35,24.1999,0.4375
80,38,25.7499,0.475
80,37,23.2999,0.4625
80,40,24.1999,0.5
80,36,21.1,0.45
80,29,20.9,0.3625
80,38,24.1499,0.475
80,35,23.8999,0.4375
90,45,25.0999,0.5
90,47,24.9999,0.522222222
90,39,25.4499,0.433333333
90,43,24.7999,0.477777778
90,46,25.0999,0.511111111
90,42,25.2499,0.466666667
90,49,23.7499,0.544444444
90,50,25.2999,0.555555556
90,44,24.7499,0.488888889
90,43,24.0999,0.477777778
100,52,24.9499,0.52
100,55,25.1999,0.55
100,46,25.2499,0.46
100,49,24.5499,0.49
100,54,25.3999,0.54
100,54,26.0499,0.54
100,53,25.1999,0.53
100,56,24.3999,0.56
100,51,22.8999,0.51
100,60,25.5499,0.6